Configuration	ECAM01
STM32CubeMX 	4.9.0
Date	08/13/2015
MCU	STM32F429ZITx



PERIPHERALS	MODES	FUNCTIONS	PINS
98	PC8	DCMI_D2	
99	PC9	DCMI_D3	
101	PA9	USART1_TX	
102	PA10	USART1_RX	
105	PA13	SYS_JTMS-SWDIO	
109	PA14	SYS_JTCK-SWCLK	
111	PC10	DCMI_D8	
113	PC12	DCMI_D9	
114	PD0	FMC_D2	
115	PD1	FMC_D3	
117	PD3	DCMI_D5	
118	PD4	USART2_RTS	
119	PD5	USART2_TX	
124	PG9	DCMI_VSYNC	
126	PG11	ETH_TX_EN	
132	PG15	FMC_SDNCAS	
136	PB6	I2C1_SCL	
137	PB7	I2C1_SDA	
141	PE0	FMC_NBL0	
142	PE1	FMC_NBL1	



SOFTWARE PROJECT

Project Settings : 
Project Name : ECAM01
Project Folder : C:\Users\flyinglotus1983\Dropbox\github\fpd-firmware\STMcube\ECAM01
Toolchain / IDE : EWARM
Firmware Package Name and Version : STM32Cube FW_F4 V1.7.0


Code Generation Settings : 
STM32Cube Firmware Library Package : Copy all used libraries into the project folder
Generate peripheral initialization as a pair of '.c/.h' files per IP : No
Backup previously generated files when re-generating : No
Delete previously generated files when not re-generated : Yes
Set all free pins as analog (to optimize the power consumption) : No


Toolchains Settings : 
Compiler Optimizations : Balanced Size/Speed






